rating_R,cast,man,man,family,country,young,rating_TV-G,love,love,woman,home,rating_G,duration,black,life,life,rating_TV-MA,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0.0,5998,0,0,0,1325,0,0.0,0,0,0,0,0.0,162,0,0,0,0.0,0,0.0,0,0,2012.0,1.0,0,0,0,0,0,4697,0.0,0,0,0,0.0,0.0
1.0,5308,0,0,0,7819,0,0.0,0,0,0,0,0.0,89,0,0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,7315,0.0,0,0,0,0.0,0.0
0.0,9451,0,0,0,1325,0,0.0,0,0,0,0,0.0,141,0,0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,0,0,0,8889,0.0,0,0,0,0.0,0.0
1.0,9291,0,0,0,9337,0,0.0,0,0,0,0,0.0,109,0,0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,0,8037,0.0,0,0,0,0.0,0.0
0.0,6142,0,0,0,9337,1,0.0,0,0,0,0,0.0,104,0,0,0,0.0,0,0.0,0,1,2010.0,0.0,0,0,0,0,0,1891,0.0,0,0,0,0.0,0.0
0.0,7260,0,0,0,9337,1,0.0,0,0,0,0,0.0,112,0,0,0,0.0,0,0.0,0,0,1993.0,0.0,0,0,0,0,0,4325,0.0,0,0,0,0.0,0.0
1.0,9077,0,0,0,8457,0,0.0,0,0,0,0,0.0,114,0,0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,9780,0.0,0,0,0,0.0,0.0
0.0,1511,0,0,0,9337,0,0.0,0,0,0,0,0.0,75,0,0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,6927,0.0,0,0,0,0.0,0.0
1.0,7991,0,0,0,6044,0,0.0,0,0,0,0,0.0,105,0,0,0,0.0,0,0.0,0,0,2015.0,0.0,0,0,0,0,0,9345,0.0,0,0,0,0.0,0.0
0.0,8526,0,0,0,1325,0,0.0,0,0,0,0,0.0,118,0,0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,1660,0.0,0,0,0,0.0,0.0
0.0,3530,0,0,0,9337,1,0.0,0,0,0,0,0.0,107,0,0,0,0.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,0,1660,0.0,0,0,0,0.0,0.0
0.0,3470,0,0,0,4096,0,0.0,0,0,0,0,0.0,58,0,0,0,1.0,0,0.0,0,1,2013.0,0.0,0,0,0,0,0,5297,0.0,0,0,0,0.0,0.0
0.0,4309,0,0,0,9337,0,0.0,0,0,0,0,0.0,106,0,0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,4570,0.0,0,0,0,0.0,1.0
0.0,4827,0,0,0,6582,0,0.0,0,0,0,0,0.0,94,0,0,0,0.0,0,0.0,0,0,1989.0,1.0,0,0,0,0,0,3119,0.0,0,0,0,0.0,0.0
1.0,9856,0,0,0,5288,0,0.0,0,0,0,0,0.0,109,0,0,0,0.0,0,0.0,0,0,2003.0,0.0,0,0,0,0,0,7774,0.0,0,0,0,0.0,0.0
0.0,9867,0,0,0,9337,0,0.0,0,0,0,0,0.0,83,0,0,0,0.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,0,2604,0.0,0,0,0,0.0,1.0
